朴素贝叶斯概率,字母数字串5,非中文字符比例,数字个数,字母个数,评论长度,标签
0.01,0,0.0,1.3862943611198906,0.0,2.302585092994046,0
0.01,0,0.0,0.6931471805599453,0.0,2.4849066497880004,0
0.01,0,0.0,0.6931471805599453,0.0,2.70805020110221,0
0.10713068586923219,0,0.0,0.6931471805599453,0.0,2.302585092994046,0
0.01,0,0.0,0.0,0.0,2.833213344056216,0
0.5,0,1.0,0.0,0.0,1.0986122886681098,0
0.015400934780836298,0,0.0,0.0,0.0,0.6931471805599453,0
0.01,0,0.328125,1.6094379124341003,0.0,4.174387269895637,0
0.24427837153053952,0,0.14285714285714285,0.0,0.0,2.70805020110221,0
0.01,0,0.06666666666666667,0.0,0.0,2.772588722239781,0
0.03727669098001548,0,0.14285714285714285,0.0,0.0,2.0794415416798357,0
0.01,0,0.09090909090909091,1.0986122886681098,0.0,3.1354942159291497,0
0.99,0,0.15384615384615385,0.0,0.0,3.295836866004329,1
0.01,0,0.14130434782608695,1.0986122886681098,1.0986122886681098,4.532599493153256,0
0.01,0,0.057692307692307696,0.6931471805599453,0.0,3.970291913552122,0
0.01,0,0.10752688172043011,0.0,0.0,4.543294782270004,0
0.99,0,0.2777777777777778,0.0,0.0,2.9444389791664403,1
0.6514117559829343,0,0.09090909090909091,0.0,0.0,2.4849066497880004,1
0.01,0,0.0,0.0,0.0,1.6094379124341003,0
0.5,0,0.8571428571428571,0.0,0.0,2.0794415416798357,0
0.018846911649311616,0,0.0,0.0,0.0,1.6094379124341003,0
0.01,0,0.14285714285714285,0.0,0.0,2.70805020110221,0
0.9074322758155362,0,0.1111111111111111,1.0986122886681098,0.0,2.9444389791664403,1
0.24713734075631666,0,0.0,0.0,0.0,1.0986122886681098,0
0.06819111243362809,0,0.2,0.0,0.0,1.791759469228055,0
0.5,0,0.0,0.0,0.0,1.0986122886681098,0
0.01,0,0.15625,0.0,1.0986122886681098,4.174387269895637,0
0.01,0,0.0,0.0,0.0,1.0986122886681098,0
0.015301893942182034,0,0.0,0.0,0.0,2.0794415416798357,0
0.01,0,0.1111111111111111,0.0,0.0,2.9444389791664403,0
0.05291114782299887,0,0.0,0.0,0.0,2.0794415416798357,0
0.15429693468117806,1,0.55,1.3862943611198906,1.9459101490553132,3.044522437723423,1
0.01,0,0.0,0.0,0.0,2.1972245773362196,0
0.01,0,0.09523809523809523,0.0,0.0,3.091042453358316,0
0.01,0,0.07407407407407407,0.6931471805599453,0.0,4.406719247264253,0
0.01,0,0.21052631578947367,0.0,0.0,2.995732273553991,0
0.014570491961729652,0,0.14285714285714285,0.0,0.0,2.70805020110221,0
0.01,0,0.10714285714285714,1.0986122886681098,0.0,3.367295829986474,0
0.01,0,0.043478260869565216,1.3862943611198906,0.0,3.1780538303479458,0
0.9553560413367982,0,0.125,0.0,0.0,2.1972245773362196,1
0.01,0,0.125,0.0,0.0,3.2188758248682006,0
0.7463659784423072,1,0.4838709677419355,1.6094379124341003,1.791759469228055,3.4657359027997265,1
0.04863392889807577,0,0.0,0.6931471805599453,0.0,1.9459101490553132,1
0.99,1,0.35947712418300654,2.4849066497880004,0.0,5.0369526024136295,1
0.01,0,0.0,0.0,0.0,1.9459101490553132,0
0.01,0,0.11363636363636363,0.0,0.0,4.48863636973214,0
0.38991639086256374,0,0.0,0.0,0.0,2.1972245773362196,0
0.01,0,0.0784313725490196,0.0,0.0,3.9512437185814275,0
0.04691898911825462,0,0.2,0.0,0.0,2.3978952727983707,0
0.01,0,0.0,0.6931471805599453,0.0,1.9459101490553132,0
0.8992369344254855,0,0.0,0.0,0.0,2.302585092994046,0
0.031001168647225484,0,0.14285714285714285,1.0986122886681098,0.0,2.70805020110221,0
0.01,0,0.2222222222222222,0.0,0.0,2.302585092994046,0
0.01,0,0.16666666666666666,0.0,0.0,2.5649493574615367,0
0.01,0,0.0,0.0,0.0,2.0794415416798357,0
0.5,0,0.0,0.0,0.0,1.0986122886681098,0
0.01,0,0.0,0.0,0.0,2.302585092994046,0
0.01,0,0.1,0.0,0.0,3.044522437723423,0
0.01,0,0.08333333333333333,0.0,0.0,2.5649493574615367,0
0.01,0,0.2857142857142857,1.0986122886681098,0.0,2.0794415416798357,0
0.01,0,0.14814814814814814,0.0,0.0,3.332204510175204,0
